Type,Venue Name,Category,City,Place ID,Current Folder,Available Images,Unmapped Folder,Folder Type,Notes
Unmapped Folder,,,,,,,Domino's_Pizza___Phase_3_D.H.A_Lahore,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Domino's_Pizza___Saddar_Karachi,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Domino's_Pizza___Valencia_Town_Lahore,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,DOUBLE_DOSE_4139,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Downtown_Paratha&More_8263,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Dragon's_WoK_7307,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Dragon_Chinese_9082,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Drip_-_Coffee_Bakery_Kitchen_3103,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Driver_Hotel_6088,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Dujjaj-_The_Arabian_Broast_9175,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Dumpling_Zhang_Restaurant_7523,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Dumpukht_By_Pearl_Continental_8797,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Dunkin_Donuts,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Dynasty_10047,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,DÃ©_Afghan_6070,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Eastern_Foods_10827,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Eatalian_Pizza_9844,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,eatalia_10014,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Eatery_9725,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Eatly_-Rooftop_5715,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Eighty20_4927,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,El_Momento_Lahore_ChIJlcOp1jEFGTkRF7xjqIDZavM,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Eminabadi_Barfi_6097,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,EpicÃ©_Fish_&_Shinwari,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Espresso_Dolmen_Mall_Clifton_3992,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Euphoria_restaurant_ChIJ4U6o-609sz4RrVaJohGP2zA,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Executive_Galaxy_Guest_House_Islamabad_7394,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Expo_Pizza_4180,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ezzy_Nimco_3869,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,F-11_Markaz_Islamabad_ChIJ8xpaUzq93zgR82o0ESM4Y4A,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Fancy_Dahi_Bhallay_9850,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Faqeer_seekh_boote_wala_4522,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Farhan_Biryani_10368,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Farhan_biryani_g13_Islamabad_6637,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Feast_5314,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,FFC_Foods_5185,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fine_Pizza_8365,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fire_and_smoke_Bar_B_Q_Grill_9868,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fishi_Fish_Point_7448,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fish_Corner_Seafood_10770,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,FK_FAST_FOOD_3890,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Flame_&_Fire_pizza,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Flavors_-_Food_for_Mood_6799,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,FoodBell_5566,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Area_By_Sukkur_Kitchen_4321,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Break_10662,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Centre_4766,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Corner_6274,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Courts_-_Packages_Mall_10980,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Express_7768,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Hut_pulao_kabab_6112,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Junction_ambala_8026,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Kachehri_9500,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Town_Family_Restaurant_10806,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Food_Way_5760,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Forks_n_Knives_8680,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fort_View_Heights_Hotel_&_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Fredrigo's_7412,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,FRED_9317,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fresco_Restaurant_7478,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fri-Chiks_Ali_Town_Raiwand_Road_8479,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fried_Deek_9335,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Friends_Broast_4037,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fritto_ÙØ±ÛŒÙ¹Ùˆ_8551,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fri_Chiks_8281,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Frontier_10236,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Fuchsia_Urban_Thai_10269,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Funky_Monk_-_Comfort_Chinese_4905,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Futuristic_Concept_9503,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,GAIâ€™A_Japanese_Fusion_8665,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Game_On_-_Sports_Complex_Lahore_ChIJ-YxGUccJGTkRw34P_Jc7Cr0,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Ganache_Cafe_8884,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Garrison_Officers_Mess,_Rawalpindi_6640",4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,GB_BAR_B-Q_TONIGHT_7082,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Geo_Shaheen_Shinwari_4375,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ghazi_pakwan_centre_4808,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ghosia_Dal_Chawal_HaleemØºÙˆØ³ÛŒÛ_Ø¯Ø§Ù„_Ú†Ø§ÙˆÙ„_Ø­Ù„ÛŒÙ…_4357,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ghousia_Barbecue_-_ØºÙˆØ«ÛŒÛ_Ø¨Ø§Ø±Ø¨ÛŒ_Ú©ÛŒÙˆ_10572,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ghousia_Nalli_Biryani_Liaquatabad_10383,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Giga_Mall_5287,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ginsoy_-_Dolmen_Mall_Clifton_Branch_4924,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ginsoy_-_Gulshan_Branch_9966,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ginsoy_-_Hyderi_Branch_10215,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ginsoy_-_Khayaban_e_Seher_Takeaway_&_Delivery_Branch,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Gloria_Jean's_Coffees_3613,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Goga_Naqeebia_Murgh_chanay_-_PIA_Road_9184,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Golden_Dragon_6271,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Golden_Dragon_HotPot_4333,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Golra_Mess_7280,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Green_Land_6658,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Grill_Fusion_9542,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Gulshan_Roll_Inn_7798,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Gul_Kabbana_6049,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Gul_Khan_Tea_Stall_9190,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Gul_Plaza_Shopping_Centre_4213,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,H-MALL_Lahore_ChIJw3d1mTUFGTkRa6uauEcb6J0,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Habibi_Restaurant_Food_Street_7714,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Habibi_Restaurant_I-8_6673,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Habib_Khan_Kakakhel_Hotel_9154,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hafeez_Roll&_Fast_Food_4942,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hafiz_sweets_Lal_kho_9737,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haji_Baba_BBQ_9773,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haji_Fazal_Ur_Rehman_desi_Murg_Merchant_9476,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haji_Mehfooz_Sheermal_House_Ø­Ø§Ø¬ÛŒ_Ù…Ø­ÙÙˆØ¸_Ø´ÛŒØ±Ù…Ø§Ù„_3923,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haji_Pizza_and_fast_food_9518,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haji_Restaurant_8152,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haji_Sardar_Pakwan_Center_4489,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Hammad_Food_Center_-_Chicken_Biryani,_Beef_Pulao_&_Daal_Chaawal",Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Hanifia_-_Khadda_Market_DHA_10794,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hanifia_-_New_Town_10869,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hanif_Rajput_RoofTop_Grill_5664,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,HaPi_Chinese_Cuisine_6604,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haq_Bahoo_Murgh_Pulao_7457,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,HAQ_VILLAGE_RESTURANT_9596,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hardee's_10998,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hardeeâ€™s_10803,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Harryâ€™s_Oven_DHA_9377,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Haryali_Store_9695,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hashi_Restaurant___Pan_Asian_Cuisine,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Hassan_Square_Akram_Fish_Point_10446,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Havabite_Fast_Food_10461,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hey_Pita_-_The_Forum_4648,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Highland_Country_Club_&_Resorts,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Hilal_Pizza_World_9847,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Himalayan_Wok,_rooftop_Restaurant_7130",4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hollywood_Fast_Food_4645,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Holly_Smoke_7682,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,HomeStyle_Bites_5110,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot-Bite_4793,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hotel_Blue_Sky_7729,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hotel_Faran_Islamabad_7801,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hotel_Tourist_inn_Lahore_8416,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,HOTPOT_Karachi_4717,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_&_Chilli,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,hot_&_Spicy_Boom_Boom_roll_paratha,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Hot_And_Spicy_7460,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_bites_9142,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_N_Chilli_6268,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_N_Chilli_Roll_4531,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_N_Pepper_4240,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_n_Roll_Aisha_Manzil_1_fb_area_4435,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_N_Spicy_Khadda_Market_10593,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hot_N_Spicy_Restaurant_10434,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,House_of_Bun_Kabab_4781,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Howdy_Emporium_Mall_8608,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Howdy_Islamabad_5419,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Huaxiaqing_7253,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Humpty_Dumpty_-_Johar_Town_Lahore_ChIJgYg-PtEDGTkRcYHC71LTrcA,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Hundred_Thousand_6751,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,HUNGER'S_(RAWALPINDI)_5179,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hungrie_9479,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,HUO_GUO_4142,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Hussaini_Gol_Gappay_&_Dahi_Bhallay,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Hyderabadi_Foods_Center_4324,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,I.T._Tower_Lahore_ChIJRV0q01gEGTkRpHuHCeNsvYw,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Ibrahim_lala_7496,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,ICE_FOOD_&_DRY_FRUITS,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Ice_land_fresh_juice_and_dry_fruits_DHA_phase_5_9668,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Idara-i-Nazaria-i-Pakistan_Lahore_ChIJRb6zMwoFGTkRam3yMJdfT-s,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Ideal_Burger_Jawaid_4399,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,IHOP_4234,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ilyas_General_Store_9892,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Imam's_Palette_Islamabad_ChIJ0Yo38znC3zgRS1ZDi1RQEVE,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Imperial_Court_Chinese_Restaurant_10503,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Indus_Fumigation_9922,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Instant_Burgers_9320,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,International_Burger_7466,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,IQ_Unique_Chinese_Food_9680,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Irish_Night_10740,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Irum_Restaurant_6634,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,ISB_Fast_Food_5865,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Islamabad_Art_Gallery_&_Framing_Islamabad_ChIJdwHz7mft3zgRv2gM7XBLgms,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Islamabad_Naan_Center_6628,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Islamabad_restaurant_6124,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ismail_Bun_Kabab_4171,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Italian_Express_9782,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Italian_Pizza_Blue_Area_5476,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Italian_Pizza_cafe_10761,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Italian_Pizza_F-10_Markaz_6934,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Italian_pizza_G_13_6667,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Italian_Pizza_I-8_Markaz_6835,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Its_BBC_Time_-_Best_BBQ_in_Lahore_9425,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jackson_Grill_&_Steak_House,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Jade_Cafe_9073,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jahangir_Balti_&_Bar-B-Q,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Jahangir_Restaurant_6919,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Javed_Nihari_10389,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jawa_Foods_-_Lake_City_8464,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jazeera_Food_Saddar_6517,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,JC_Dera_7837,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jeddah_Biryani_Food_Center_10863,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,JEFF_BBQ_6778,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jessica's_Pizza_&_Burgers,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Jhaal_Chakian_Ki_Mashoor_Daal_-_Delivery_by_Foods_Provider_5263,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jhal_Chakian_Key_Mashhoor_Dal_7741,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jhal_Chakian_ki_Mashoor_Daal_Aabpara_7490,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,JIMMY'S_PIZZA_9785,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jin_Cheng_Restaurant_9617,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,JJ_Shinwari_(R-Sons)_3846,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Johnny_&_Jugnu_-_Bahria_Town,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Johnny_and_Jugnu_-_Gulberg_9614,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jordan_Restaurant_(Saima_Paari_Mall)_Ø¬Ø§Ø±ÚˆÙ†_Ø±ÛŒØ³Ù¹ÙˆØ±ÛŒÙ†Ù¹_(ØµØ§Ø¦Ù…Û_Ù¾Ø§Ø±ÛŒ_Ù…Ø§Ù„)_4858,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Judge_Hotel_B_Block_Nawazish_Abad_9422,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Juice_Spot_&_Juice_Palace,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Juicito_Commercial_7694,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Junis_Restaurant_and_CafÃ©_4814,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Jutt_And_Juliet_Cafe_And_Restaurant_5464,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,J_Jamera_Ø¬Û’_Ø¬Ù…ÛŒØ±Ø§_8317,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,K&B's_Chapter_2_-_Clifton_3860,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kababjees_Fried_Chicken_Clifton_4288,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kababjees_Fried_Chicken___Gulistan_e_Johar_block_7,Numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kababjees_Restaurant_8224,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kabab_Badshah_9387,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,KABUL_Dastarkhwan_Restaurant_F6_Markaz_Islamabad_7190,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kabul_Mazar_Restaurant_7385,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kaka_Khel_Hotel_8179,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Kaltoor_Shinwari_Restaurant_7100,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Al-Naz_Biryani_&_Murgh_Pulao,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Karachi_Bar.B.Q_DHA_8539,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Biryani_&_Haleem,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Karachi_Biryani_7990,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Dehli_Gola_Kabab_House_Ú©Ø±Ø§Ú†ÛŒ_Ø¯Ú¾Ù„ÛŒ_Ú¯ÙˆÙ„Û_Ú©Ø¨Ø§Ø¨_ÛØ§Ø¤Ø³_10260,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_fast_food_and_bryani_&_pakwan_center,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Karachi_Foods_10830,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Karachi_Gali_by_Jehan,_Spot_1._9437",4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,karachi_haleem_(lasbela_branch)_7939,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Haleem_-_DHA_Branch_10665,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Haleem_19-C_ittehad_10704,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Haleem_North_Nazimabad_Branch_10683,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Hot_n_Spicy_DHA_8695,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Hot_n_Spicy_Zarar_Shaheed_8761,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Karachi_Naseeb_Biryani,_Murgh_Pulao_&_Pakwan_Center",Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Karachi_Naseeb_Biryani_&_Cooking_Centre,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Karachi_Naseeb_Biryani_&_Pakwan_Centre,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,KARACHI_NASEEB_BIRYANI_&_PULAO_DHA,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Karachi_Naseeb_Biryani_and_Murgh_pulao_9341,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Naseeb_Biryani_Catering_Centre_6286,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Karachi_Naseeb_Biryani_Joray_Pull_Branch_9217,4-digit numbered,Numbered folder - potential for venue matching
